Level,Next_Level_Required_EXP,Divided_by_20,Cumulative_EXP
686,34382,1719.1,4003902
687,34676,1733.8,4038284
688,34973,1748.7,4072960
689,35273,1763.7,4107933
690,35575,1778.8,4143206
691,35879,1794,4178781
692,36187,1809.3,4214660
693,36496,1824.8,4250847
694,36809,1840.5,4287343
695,37124,1856.2,4324152
696,37442,1872.1,4361276
697,37762,1888.1,4398718
698,38086,1904.3,4436480
699,38412,1920.6,4474566
700,38741,1937,4512978
701,39072,1953.6,4551719
702,39407,1970.3,4590791
703,39744,1987.2,4630198
704,40085,2004.2,4669942
705,40428,2021.4,4710027
706,40774,2038.7,4750455
707,41123,2056.2,4791229
708,41475,2073.8,4832352
709,41830,2091.5,4873827
710,42189,2109.4,4915657
711,42550,2127.5,4957846
712,42914,2145.7,5000396
713,43282,2164.1,5043310
714,43652,2182.6,5086592
715,44026,2201.3,5130244
716,44403,2220.2,5174270
717,44783,2239.2,5218673
718,45166,2258.3,5263456
719,45553,2277.7,5308622
720,45943,2297.2,5354175
721,46337,2316.8,5400118
722,46733,2336.7,5446455
723,47133,2356.7,5493188
724,47537,2376.8,5540321
725,47944,2397.2,5587858
726,48355,2417.8,5635802
727,48769,2438.4,5684157
728,49186,2459.3,5732926
729,49607,2480.3,5782112
730,50032,2501.6,5831719
731,50460,2523,5881751
732,50892,2544.6,5932211
733,51328,2566.4,5983103
734,51768,2588.4,6034431
735,52211,2610.6,6086199
736,52658,2632.9,6138410
737,53109,2655.4,6191068
738,53564,2678.2,6244177
739,54022,2701.1,6297741
740,54485,2724.2,6351763
741,54951,2747.6,6406248
742,55422,2771.1,6461199
743,55896,2794.8,6516621
744,56375,2818.8,6572517
745,56858,2842.9,6628892
746,57344,2867.2,6685750
747,57835,2891.8,6743094
748,58331,2916.6,6800929
749,58830,2941.5,6859260
750,59334,2966.7,6918090
751,59842,2992.1,6977424
752,60354,3017.7,7037266
753,60871,3043.6,7097620
754,61392,3069.6,7158491
755,61918,3095.9,7219883
756,62448,3122.4,7281801
757,62983,3149.2,7344249
758,63522,3176.1,7407232
759,64066,3203.3,7470754
760,64614,3230.7,7534820
761,65168,3258.4,7599434
762,65726,3286.3,7664602
763,66288,3314.4,7730328
764,66856,3342.8,7796616
765,67428,3371.4,7863472
766,68006,3400.3,7930900
767,68588,3429.4,7998906
768,69175,3458.8,8067494
769,69767,3488.3,8136669
770,70365,3518.2,8206436
771,70967,3548.3,8276801
772,71575,3578.8,8347768
773,72188,3609.4,8419343
774,72806,3640.3,8491531
775,73429,3671.4,8564337
776,74058,3702.9,8637766
777,74692,3734.6,8711824
778,75332,3766.6,8786516
779,75977,3798.8,8861848
780,76627,3831.3,8937825
781,77283,3864.2,9014452
782,77945,3897.2,9091735
783,78612,3930.6,9169680
784,79285,3964.2,9248292
785,79964,3998.2,9327577
786,80649,4032.4,9407541
787,81339,4066.9,9488190
788,82036,4101.8,9569529
789,82738,4136.9,9651565
790,83447,4172.4,9734303
791,84161,4208.1,9817750
792,84882,4244.1,9901911
793,85608,4280.4,9986793
794,86341,4317.1,10072401
795,87081,4354.1,10158742
796,87826,4391.3,10245823
797,88578,4428.9,10333649
798,89337,4466.9,10422227
799,90102,4505.1,10511564
800,90873,4543.6,10601666
801,91651,4582.6,10692539
802,92436,4621.8,10784190
803,93227,4661.4,10876626
804,94026,4701.3,10969853
805,94831,4741.6,11063879
806,95643,4782.1,11158710
807,96462,4823.1,11254353
808,97287,4864.4,11350815
809,98120,4906,11448102
810,98961,4948.1,11546222
811,99808,4990.4,11645183
812,100662,5033.1,11744991
813,101524,5076.2,11845653
814,102394,5119.7,11947177
815,103270,5163.5,12049571
816,104155,5207.8,12152841
817,105046,5252.3,12256996
818,105946,5297.3,12362042
819,106853,5342.6,12467988
820,107768,5388.4,12574841
821,108691,5434.6,12682609
822,109621,5481.1,12791300
823,110560,5528,12900921
824,111506,5575.3,13011481
825,112461,5623.1,13122987
826,113424,5671.2,13235448
827,114395,5719.8,13348872
828,115375,5768.8,13463267
829,116362,5818.1,13578642
830,117359,5867.9,13695004
831,118364,5918.2,13812363
832,119377,5968.9,13930727
833,120399,6019.9,14050104
834,121430,6071.5,14170503
835,122470,6123.5,14291933
836,123518,6175.9,14414403
837,124576,6228.8,14537921
838,125643,6282.1,14662497
839,126718,6335.9,14788140
840,127803,6390.1,14914858
841,128898,6444.9,15042661
842,130001,6500.1,15171559
843,131114,6555.7,15301560
844,132237,6611.9,15432674
845,133369,6668.4,15564911
846,134511,6725.6,15698280
847,135663,6783.1,15832791
848,136824,6841.2,15968454
849,137996,6899.8,16105278
850,139178,6958.9,16243274
851,140369,7018.4,16382452
852,141571,7078.6,16522821
853,142783,7139.1,16664392
854,144006,7200.3,16807175
855,145239,7261.9,16951181
856,146482,7324.1,17096420
857,147737,7386.9,17242902
858,149001,7450.1,17390639
859,150277,7513.9,17539640
860,151564,7578.2,17689917
861,152862,7643.1,17841481
862,154170,7708.5,17994343
863,155490,7774.5,18148513
864,156822,7841.1,18304003
865,158165,7908.2,18460825
866,159519,7975.9,18618990
867,160885,8044.2,18778509
868,162262,8113.1,18939394
869,163651,8182.6,19101656
870,165053,8252.6,19265307
871,166466,8323.3,19430360
872,167891,8394.5,19596826
873,169329,8466.5,19764717
874,170779,8539,19934046
875,172241,8612,20104825
876,173716,8685.8,20277066
877,175203,8760.1,20450782
878,176703,8835.1,20625985
879,178216,8910.8,20802688
880,179742,8987.1,20980904
881,181281,9064,21160646
882,182833,9141.6,21341927
883,184398,9219.9,21524760
884,185977,9298.9,21709158
885,187570,9378.5,21895135
886,189176,9458.8,22082705
887,190795,9539.8,22271881
888,192429,9621.5,22462676
889,194077,9703.9,22655105
890,195738,9786.9,22849182
891,197414,9870.7,23044920
892,199105,9955.2,23242334
893,200809,10040.5,23441439
894,202529,10126.5,23642248
895,204263,10213.1,23844777
896,206012,10300.6,24049040
897,207776,10388.8,24255052
898,209555,10477.8,24462828
899,211349,10567.5,24672383
900,213159,10658,24883732
901,214984,10749.2,25096891
902,216824,10841.2,25311875
903,218681,10934,25528699
904,220553,11027.6,25747380
905,222442,11122.1,25967933
906,224346,11217.3,26190375
907,226267,11313.4,26414721
908,228204,11410.2,26640988
909,230158,11507.9,26869192
910,232129,11606.5,27099350
911,234117,11705.9,27331479
912,236121,11806,27565596
913,238143,11907.1,27801717
914,240182,12009.1,28039860
915,242238,12111.9,28280042
916,244312,12215.6,28522280
917,246404,12320.2,28766592
918,248514,12425.7,29012996
919,250642,12532.1,29261510
920,252788,12639.4,29512152
921,254952,12747.6,29764940
922,257135,12856.8,30019892
923,259337,12966.9,30277027
924,261557,13077.9,30536364
925,263797,13189.9,30797921
926,266055,13302.8,31061718
927,268334,13416.7,31327773
928,270631,13531.5,31596107
929,272948,13647.4,31866738
930,275285,13764.2,32139686
931,277642,13882.1,32414971
932,280019,14001,32692613
933,282417,14120.9,32972632
934,284835,14241.8,33255049
935,287274,14363.7,33539884
936,289734,14486.7,33827158
937,292214,14610.7,34116892
938,294716,14735.8,34409106
939,297240,14862,34703822
940,299785,14989.2,35001062
941,302352,15117.6,35300847
942,304940,15247,35603199
943,307551,15377.5,35908139
944,310185,15509.2,36215690
945,312841,15642,36525875
946,315519,15776,36838716
947,318221,15911,37154235
948,320945,16047.2,37472456
949,323693,16184.6,37793401
950,326465,16323.2,38117094
951,329260,16463,38443559
952,332079,16604,38772819
953,334923,16746.2,39104898
954,337790,16889.5,39439821
955,340682,17034.1,39777611
956,343599,17180,40118293
957,346541,17327,40461892
958,349509,17475.5,40808433
959,352501,17625,41157942
960,355519,17776,41510443
961,358563,17928.2,41865962
962,361633,18081.7,42224525
963,364730,18236.5,42586158
964,367853,18392.7,42950888
965,371002,18550.1,43318741
966,374179,18709,43689743
967,377383,18869.2,44063922
968,380614,19030.7,44441305
969,383873,19193.7,44821919
970,387159,19358,45205792
971,390474,19523.7,45592951
972,393818,19690.9,45983425
973,397190,19859.5,46377243
974,400590,20029.5,46774433
975,404020,20201,47175023
976,407480,20374,47579043
977,410968,20548.4,47986523
978,414487,20724.3,48397491
979,418036,20901.8,48811978
980,421615,21080.8,49230014
981,425225,21261.2,49651629
982,428866,21443.3,50076854
983,432538,21626.9,50505720
984,436242,21812.1,50938258
985,439977,21998.8,51374500
986,443744,22187.2,51814477
987,447544,22377.2,52258221
988,451375,22568.8,52705765
989,455240,22762,53157140
990,459138,22956.9,53612380
991,463069,23153.5,54071518
992,467034,23351.7,54534587
993,471033,23551.7,55001621
994,475066,23753.3,55472654
995,479134,23956.7,55947720
996,483236,24161.8,56426854
997,487374,24368.7,56910090
998,491547,24577.3,57397464
999,495755,24787.8,57889011
1000,500000,25000,58384766
1001,504281,25214,58884766
1002,508599,25430,59389047
1003,512954,25647.7,59897646
1004,517346,25867.3,60410600
1005,521775,26088.8,60927946
1006,526243,26312.2,61449721
1007,530748,26537.4,61975964
1008,535293,26764.7,62506712
1009,539876,26993.8,63042005
1010,544499,27225,63581881
1011,549161,27458,64126380
1012,553863,27693.2,64675541
1013,558605,27930.2,65229404
1014,563388,28169.4,65788009
1015,568212,28410.6,66351397
1016,573077,28653.8,66919609
1017,577983,28899.2,67492686
1018,582932,29146.6,68070669
1019,587923,29396.2,68653601
1020,592957,29647.8,69241524
1021,598034,29901.7,69834481
1022,603155,30157.8,70432515
1023,608319,30416,71035670
1024,613528,30676.4,71643989
1025,618781,30939,72257517
1026,624079,31204,72876298
1027,629422,31471.1,73500377
1028,634812,31740.6,74129799
1029,640247,32012.3,74764611
1030,645729,32286.5,75404858
1031,651258,32562.9,76050587
1032,656834,32841.7,76701845
1033,662458,33122.9,77358679
1034,668130,33406.5,78021137
1035,673850,33692.5,78689267
1036,679620,33981,79363117
1037,685439,34271.9,80042737
1038,691308,34565.4,80728176
1039,697227,34861.3,81419484
1040,703197,35159.8,82116711
1041,709218,35460.9,82819908
1042,715290,35764.5,83529126
1043,721415,36070.8,84244416
1044,727591,36379.6,84965831
1045,733821,36691.1,85693422
1046,740104,37005.2,86427243
1047,746441,37322.1,87167347
1048,752832,37641.6,87913788
1049,759278,37963.9,88666620
1050,765779,38288.9,89425898
1051,772336,38616.8,90191677
1052,778949,38947.4,90964013
1053,785618,39280.9,91742962
1054,792345,39617.2,92528580
1055,799129,39956.4,93320925
1056,805971,40298.6,94120054
1057,812872,40643.6,94926025
1058,819832,40991.6,95738897
1059,826852,41342.6,96558729
1060,833931,41696.6,97385581
1061,841072,42053.6,98219512
1062,848273,42413.7,99060584
1063,855536,42776.8,99908857
1064,862861,43143.1,100764393
1065,870249,43512.4,101627254
1066,877701,43885.1,102497503
1067,885216,44260.8,103375204
1068,892795,44639.8,104260420
1069,900439,45021.9,105153215
1070,908149,45407.4,106053654
1071,915925,45796.2,106961803
1072,923767,46188.3,107877728
1073,931676,46583.8,108801495
1074,939654,46982.7,109733171
1075,947699,47384.9,110672825
1076,955813,47790.7,111620524
1077,963997,48199.8,112576337
1078,972251,48612.6,113540334
1079,980576,49028.8,114512585
1080,988972,49448.6,115493161
1081,997439,49871.9,116482133
1082,1005980,50299,117479572
1083,1014593,50729.7,118485552
1084,1023280,51164,119500145
1085,1032042,51602.1,120523425
1086,1040878,52043.9,121555467
1087,1049790,52489.5,122596345
1088,1058779,52938.9,123646135
1089,1067844,53392.2,124704914
1090,1076987,53849.3,125772758
1091,1086209,54310.4,126849745
1092,1095509,54775.4,127935954
1093,1104889,55244.4,129031463
1094,1114349,55717.4,130136352
1095,1123890,56194.5,131250701
1096,1133513,56675.7,132374591
1097,1143219,57160.9,133508104
1098,1153007,57650.3,134651323
1099,1162879,58143.9,135804330
1100,1172836,58641.8,136967209
1101,1182878,59143.9,138140045
1102,1193006,59650.3,139322923
